Date,Open,High,Low,Close,Volume,Name
2017-03-30,851.98,852.0,846.77,849.48,949398,GOOGL
2017-03-31,846.83,849.56,845.24,847.8,1440982,GOOGL
2017-04-03,848.75,859.0,847.53,856.75,1969402,GOOGL
2017-04-04,848.0,853.0,847.5,852.57,1348494,GOOGL
2017-04-05,854.71,860.59,847.52,848.91,1855153,GOOGL
2017-04-06,849.5,853.59,844.0,845.1,1533564,GOOGL
2017-04-07,845.0,845.88,837.3,842.1,1111610,GOOGL
2017-04-10,841.54,846.74,840.79,841.7,1046215,GOOGL
2017-04-11,841.7,844.63,834.6,839.88,974343,GOOGL
2017-04-12,838.46,843.72,837.59,841.46,1135775,GOOGL
