Date,Open,High,Low,Close,Volume,Name
2017-02-15,838.81,841.77,836.22,837.32,1357185,GOOGL
2017-02-16,838.5,842.69,837.26,842.17,1005084,GOOGL
2017-02-17,841.31,846.94,839.78,846.55,1461210,GOOGL
2017-02-21,847.99,852.2,846.55,849.27,1261062,GOOGL
2017-02-22,848.0,853.79,846.71,851.36,1224889,GOOGL
2017-02-23,851.08,852.62,842.5,851.0,1386681,GOOGL
2017-02-24,847.65,848.36,842.96,847.81,1346189,GOOGL
2017-02-27,844.95,850.67,843.01,849.67,1010333,GOOGL
2017-02-28,847.35,848.83,841.44,844.93,1383119,GOOGL
2017-03-01,851.38,858.0,849.02,856.75,1818671,GOOGL
